fips,TOT_POP,0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,60-69 y/o % of total pop,70-79 y/o % of total pop,80+ y/o % of total pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,MEDHHINC_2018,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total Hospitals (2019),ICU Beds_x,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,Obesity_prevalence,Heart disease_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code
20003,7878,13.65828891,13.88677329,9.926377253,10.6752983,10.31987814,13.41711094,12.49047982,9.393247017,6.232546332,96.31886266,51,0.64737243,54,0.685453161,54,0.685453161,1,0.012693577,130,1.650165017,18,103,13.3,12.5,0.9,-0.3,1.7,8.7,41.5,32.3,17.5,13.1,16.7,50646,3.5,87.1,227.6,88.0,6.8,6.3,0.376108576,0,26.7,20,3,49.8,39.1,9.0,9.2,13.1,3.5,6
20005,16193,12.04841598,16.31569197,13.89489285,11.10356327,10.43660841,12.49305255,11.51114679,7.410609523,4.78601865,90.92817884,812,5.014512444,113,0.697832397,104,0.642252825,8,0.049404063,432,2.667819428,-108,1385,11.9,10.3,1.6,-0.2,-8.0,7.6,37.6,32.9,21.9,15.5,18.3,49332,4.6,84.8,227.6,88.0,6.8,6.3,0.773080245,4,21.4,20,5,48.8,35.1,7.8,8.3,11.8,3.1,5
20007,4472,12.88014311,11.69499106,9.615384615,11.47137746,8.966905188,13.61806798,15.96601073,10.46511628,5.322003578,95.14758497,41,0.916815742,61,1.364042934,23,0.51431127,1,0.02236136,91,2.034883721,-111,40,10.8,11.3,-0.4,0.0,-23.9,8.5,34.9,38.3,18.3,12.8,19.9,47634,2.6,81.9,227.6,88.0,6.8,6.3,0.213500578,0,26.6,20,7,48.4,40.0,9.6,9.7,14.0,3.7,6
20009,26111,12.99835318,13.36984413,11.8226035,11.95664662,9.704722148,13.30856727,13.5613343,7.498755314,5.779173528,95.03274482,516,1.976178622,237,0.907663437,68,0.26042664,17,0.06510666,459,1.757879821,-321,672,12.0,11.8,0.2,0.0,-12.4,11.4,32.4,37.8,18.4,14.5,18.9,49991,3.3,86.0,227.6,88.0,6.8,6.3,1.246581751,4,24.8,20,9,49.1,36.6,8.5,8.8,13.6,3.4,5
20011,14653,13.88794104,14.93209582,11.69043882,10.9056166,10.50979322,11.69043882,12.93250529,8.032484815,5.418685593,92.04940968,467,3.18706067,133,0.90766396,176,1.201119225,6,0.040947246,383,2.613799222,-23,409,13.0,10.5,2.5,0.7,-4.8,8.8,30.8,39.7,20.6,16.0,22.5,41807,4.2,71.9,227.6,88.0,6.8,6.3,0.699558132,0,24.8,20,11,51.0,42.5,9.0,9.5,14.0,3.6,6
20013,9598,13.76328402,13.55490727,9.87705772,11.4086268,10.22087935,13.17982913,13.97166076,8.897687018,5.126067931,85.43446551,136,1.416961867,916,9.543654928,43,0.448010002,6,0.062513024,297,3.094394666,-14,116,11.6,12.6,-1.0,-0.3,-0.1,7.4,36.0,34.8,21.8,13.3,19.7,47529,3.0,81.7,227.6,88.0,6.8,6.3,0.458224183,0,25.5,20,13,50.4,40.1,8.7,9.0,13.7,3.5,6
20015,66765,12.93641878,15.45120947,11.4580993,12.7716618,12.22646596,13.2419681,11.72620385,6.208342695,3.979630046,92.79412866,1443,2.161312065,737,1.103871789,892,1.336029357,67,0.100351981,1672,2.504306148,-71,2300,11.0,9.4,1.6,0.0,-2.7,7.5,26.5,37.0,29.0,9.6,11.8,65953,3.5,113.4,227.6,88.0,6.8,6.3,3.187470054,16,20.2,20,15,46.8,38.2,6.9,7.1,11.0,2.8,3
20017,2629,10.87866109,11.37314568,11.829593,9.699505515,10.5363256,13.7694941,14.07379232,11.10688475,6.732597946,95.85393686,33,1.255230126,18,0.684670978,8,0.304298212,0,0.0,50,1.901863827,-29,145,11.7,5.3,6.4,0.0,-16.6,10.1,27.6,40.6,21.6,10.3,12.8,50981,2.6,87.7,227.6,88.0,6.8,6.3,0.12551275,0,31.4,20,17,50.2,38.6,9.0,8.8,13.4,3.5,6
20019,3309,10.60743427,11.5744938,8.975521306,10.93986099,9.459051073,13.32728921,15.23118767,12.60199456,7.28316712,88.36506497,39,1.178603808,194,5.862798429,3,0.090661831,2,0.060441221,147,4.442429737,-19,79,8.1,13.9,-5.7,0.0,0.0,12.7,35.6,35.0,16.8,17.2,26.8,41129,4.0,70.7,227.6,88.0,6.8,6.3,0.15797706,0,33.8,20,19,52.6,38.3,11.1,11.0,15.7,4.2,6
20021,20015,11.86110417,13.36997252,10.51211591,11.42643018,11.73619785,14.60904322,13.12515613,8.768423682,4.591556333,89.85261054,167,0.834374219,849,4.241818636,98,0.489632775,52,0.259805146,865,4.321758681,-99,202,10.6,13.0,-2.3,-0.2,-2.3,11.0,33.5,36.4,19.1,16.5,22.5,44475,3.8,76.5,227.6,88.0,6.8,6.3,0.955548763,0,24.8,20,21,49.7,38.0,9.0,9.6,14.0,3.6,6
